number,name,source_page,source_collection,resource_id,image_name,image_url,crop_method,black_pixel_fraction
1,George Washington,https://www.loc.gov/resource/cph.3a09915/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3a09915,01-washington.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/01-washington.jpg,detected,0.0306
2,John Adams,https://www.loc.gov/resource/cph.3a53276/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3a53276,02-adams.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/02-adams.jpg,detected,0.0345
3,Thomas Jefferson,https://www.loc.gov/resource/ppmsca.15708/,Library of Congress Free to Use and Reuse - Presidential Portraits,ppmsca.15708,03-jefferson.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/03-jefferson.jpg,detected,0.0549
4,James Madison,https://www.loc.gov/resource/ppmsca.19166/,Library of Congress Free to Use and Reuse - Presidential Portraits,ppmsca.19166,04-madison.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/04-madison.jpg,detected,0.0268
5,James Monroe,https://www.loc.gov/resource/cph.3c17118/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3c17118,05-monroe.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/05-monroe.jpg,detected,0.0330
6,John Quincy Adams,https://www.loc.gov/resource/cph.3c17119/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3c17119,06-adams.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/06-adams.jpg,detected,0.0255
7,Andrew Jackson,https://www.loc.gov/resource/cph.3c17120/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3c17120,07-jackson.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/07-jackson.jpg,detected,0.0304
8,Martin Van Buren,https://www.loc.gov/resource/cph.3a53282/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3a53282,08-van-buren.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/08-van-buren.jpg,detected,0.0442
9,William Henry Harrison,https://www.loc.gov/resource/cph.3a53386/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3a53386,09-harrison.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/09-harrison.jpg,detected,0.0295
10,John Tyler,https://www.loc.gov/resource/cph.3a53283/,Library of Congress Free to Use and Reuse - Presidential Portraits,cph.3a53283,10-tyler.jpg,https://www.loc.gov/static/portals/free-to-use/public-domain/presidential-portraits/10-tyler.jpg,detected,0.0462
