number,name,wikipedia_page,page_image_name,image_url,crop_method,black_pixel_fraction
1,George Washington,https://en.wikipedia.org/wiki/George_Washington,Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0148
2,John Adams,https://en.wikipedia.org/wiki/John_Adams,John_Adams_Portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/John_Adams_Portrait.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0191
3,Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,"Official_Presidential_portrait_of_Thomas_Jefferson_(by_Rembrandt_Peale,_1800).jpg",https://upload.wikimedia.org/wikipedia/commons/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0281
4,James Madison,https://en.wikipedia.org/wiki/James_Madison,James_Madison.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/James_Madison.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0153
5,James Monroe,https://en.wikipedia.org/wiki/James_Monroe,James_Monroe_White_House_portrait_1819_(cropped)(2).jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/James_Monroe_White_House_portrait_1819_%28cropped%29%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0199
6,John Quincy Adams,https://en.wikipedia.org/wiki/John_Quincy_Adams,JQA_Photo_Crop_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/3a/JQA_Photo_Crop_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0304
7,Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,Andrew_jackson_head_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Andrew_jackson_head_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0131
8,Martin Van Buren,https://en.wikipedia.org/wiki/Martin_Van_Buren,Martin_Van_Buren_by_Mathew_Brady_c1855-58-(4).jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Martin_Van_Buren_by_Mathew_Brady_c1855-58-%284%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0239
9,William Henry Harrison,https://en.wikipedia.org/wiki/William_Henry_Harrison,William_Henry_Harrison_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/William_Henry_Harrison_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0158
10,John Tyler,https://en.wikipedia.org/wiki/John_Tyler,"Tyler,_John,_by_Healy_(1842,_NPG_2019_13)_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/f/fb/Tyler%2C_John%2C_by_Healy_%281842%2C_NPG_2019_13%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0138
11,James K. Polk,https://en.wikipedia.org/wiki/James_K._Polk,Polk_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Polk_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0294
12,Zachary Taylor,https://en.wikipedia.org/wiki/Zachary_Taylor,Zachary_Taylor_restored_and_cropped_(3.5x4.5_cropped)_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Zachary_Taylor_restored_and_cropped_%283.5x4.5_cropped%29_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0466
13,Millard Fillmore,https://en.wikipedia.org/wiki/Millard_Fillmore,Millard_Fillmore_Better_Crop_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Millard_Fillmore_Better_Crop_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0344
14,Franklin Pierce,https://en.wikipedia.org/wiki/Franklin_Pierce,Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_(cropped)(2).jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0397
15,James Buchanan,https://en.wikipedia.org/wiki/James_Buchanan,James_Buchanan_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/James_Buchanan_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0319
16,Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,Abraham_Lincoln_1863_Portrait_(3x4_cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/Abraham_Lincoln_1863_Portrait_%283x4_cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0678
17,Andrew Johnson,https://en.wikipedia.org/wiki/Andrew_Johnson,"Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg",https://upload.wikimedia.org/wikipedia/commons/e/e6/Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0393
18,Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,Ulysses_S._Grant_1870-1880_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/Ulysses_S._Grant_1870-1880_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0374
19,Rutherford B. Hayes,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,President_Rutherford_Hayes_1870_-_1880_Restored.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/President_Rutherford_Hayes_1870_-_1880_Restored.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0456
20,James A. Garfield,https://en.wikipedia.org/wiki/James_A._Garfield,"James_Abram_Garfield,_photo_portrait_seated.jpg",https://upload.wikimedia.org/wikipedia/commons/1/1f/James_Abram_Garfield%2C_photo_portrait_seated.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0364
21,Chester A. Arthur,https://en.wikipedia.org/wiki/Chester_A._Arthur,Chester_A._Arthur_by_Abraham_Bogardus_(cropped)_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Chester_A._Arthur_by_Abraham_Bogardus_%28cropped%29_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0319
22,Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland,StephenGroverCleveland.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/StephenGroverCleveland.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0238
23,Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison,Pach_Brothers_-_Benjamin_Harrison_(cropped)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Pach_Brothers_-_Benjamin_Harrison_%28cropped%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0419
24,William McKinley,https://en.wikipedia.org/wiki/William_McKinley,McKinley_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/McKinley_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0262
25,Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,Theodore_Roosevelt_by_the_Pach_Bros_(4x5_cropped)_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Theodore_Roosevelt_by_the_Pach_Bros_%284x5_cropped%29_%282%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0287
26,William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft,William_Howard_Taft_by_Pach_Brothers_(3x4_ropped)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/William_Howard_Taft_by_Pach_Brothers_%283x4_ropped%29_%28cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0295
27,Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson,President_Woodrow_Wilson_Harris_&_Ewing_(3x4_cropped_b).jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/President_Woodrow_Wilson_Harris_%26_Ewing_%283x4_cropped_b%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0280
28,Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding,Warren_G._Harding_1920s_portrait_(3x4_cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4e/Warren_G._Harding_1920s_portrait_%283x4_cropped%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0202
29,Calvin Coolidge,https://en.wikipedia.org/wiki/Calvin_Coolidge,"President_Calvin_Coolidge,_1924_portrait_photograph_(3x4_cropped_2).jpeg",https://upload.wikimedia.org/wikipedia/commons/4/4c/President_Calvin_Coolidge%2C_1924_portrait_photograph_%283x4_cropped_2%29.jpeg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=original,detected,0.0267
